,BD,D,C,L,Z1,Z2,Z3,Z4,Z5,WA,T,S,K,GBP,FPV,CU,A,SS
16,2.2,17.9,27.1,66,184.7642882,90.06785829,90.1535729,229.9750034,166.2357161,144.2565248,73.84285736,140.1413443,135.3499996,1327.784633,1985.433411,63.85714286,288.4696405,379.3424792
17,2.2,17.7,27.7,66.2,183.0142877,89.96071516,90.75000109,225.4642901,167.7392883,151.919117,75.83928626,140.6395024,143.6642854,1348.484597,2101.399902,68,296.0982154,389.8540246
18,2,18,27,69,176.0500025,87.23571587,93.70357323,111.4035734,119.9964303,0.050027791,0,0,0,5.92E-38,0,40,0,0
19,2.2,18,27.7,67,175.3857166,86.91071701,93.34285981,109.1357155,115.9642863,0.050027791,0,0,0,5.92E-38,0,40,0,0
20,2.2,18,29,68,249.0428603,122.3607164,149.1785736,152.3214324,166.9892894,188.8764537,0.72142856,-9.19850954,1.303571424,6.12E-38,0,40,59.10535731,182.3240667
21,2.2,18,29,69,196.0076963,100.1346171,152.934619,154.469233,175.0538494,112.9893702,66.34999935,137.3070984,112.9192311,1296.310739,1695.400024,54,263.4096151,348.9927216
22,2.2,18.5,28,66,201.5571507,100.0821438,153.4321458,238.0785751,174.8571445,122.0594733,67.42857116,137.3632022,113.5249991,1276.141371,1695.400024,60,266.3160662,348.0356031
23,2.2,18,29,70,198.0714297,100.1250014,153.0285732,230.6964313,175.1535737,125.1514688,67.13928577,136.5753403,113.0607144,1277.126334,1695.400024,58,265.510716,349.0396009
24,2.2,18.2,29,70,196.700004,100.1250022,151.5214315,235.021431,175.1285749,124.9207848,67.52142824,137.7120552,114,1281.755123,1695.400024,58,266.8374993,349.0428085
25,2.2,18,27.2,69,189.0785719,89.93571527,135.6571459,212.1357182,162.3178602,127.9530245,73.03571401,136.1861768,112.9214287,1342.793248,1695.400024,56,285.9035721,319.070331
26,2.2,18,27.2,69,190.0785719,90.02857235,136.328574,216.4821461,162.2892881,128.0843476,73.16428484,136.4902137,113.1750003,1346.028883,1695.400024,55,285.9803554,319.0478777
27,2.2,18.3,27.1,68.2,194.0285726,89.94642993,136.5142893,215.5250032,163.7107179,136.0971331,73.98571396,134.926354,118.471429,1376.248186,1797.133301,56,289.0035716,329.9860306
28,2.3,18.5,25.5,67,193.7285745,90.06071554,143.1892896,217.1750041,162.3250024,127.9426024,72.22142928,135.6302468,112.4821437,1352.189013,1695.400024,55,282.5339279,322.0085591
29,2.2,17.6,26.9,67.1,190.8357173,89.94285801,137.9035759,217.0500031,162.2750026,128.1156153,72.37142808,135.9677015,112.8249999,1355.90206,1695.400024,55,283.5874961,321.9508198
30,2.2,18.1,26.8,68.4,180.8142875,100.8750019,107.482145,109.9392872,105.7035735,0.061839908,0,0,0,6.77E-38,0,100,0,0
31,2.2,17.5,26.5,66,180.8142875,100.8750019,107.482145,109.9392872,105.7035735,0.061839908,0,0,0,6.77E-38,0,100,0,0
32,2.19,18.2,27.4,49.3,211.6142878,158.207146,211.1607176,249.9321474,265.3107185,0.040994995,0,0,0,6.77E-38,0,45,0,0
33,2.2,18.1,27.3,70.4,219.7357172,149.4250036,229.8357173,251.3214324,275.0857195,132.4610841,56.98571437,132.1881011,107.1714281,1075.423344,1649.016667,67.32142857,231.1160709,386.9061726
34,2.2,17.9,26.8,70.2,303.8428639,224.9285725,247.7464316,265.2214323,292.6857234,0.074346856,0,0,0,4.909655793,0,69,0,0
35,2.18,17.8,24.1,66.2,215.3571467,118.9964303,132.5107182,142.660717,137.5785735,0.056976095,0,0,0,6.74E-38,0,69,0,0
36,2.2,18,29,70,215.3571467,118.9964303,132.5107182,142.660717,137.5785735,0.056976095,0,0,0,6.74E-38,0,69,0,0
37,2.2,18,27,68,172.5857152,89.72857285,139.2928608,147.0571436,162.9285742,0.053501943,0,0,0,6.74E-38,0,45,0,0
38,2.2,18.7,27.7,70,189.385716,100.0500014,142.2857186,139.7214317,170.0142877,119.9999956,63.76785714,137.0115683,113.1107148,1348.285692,1695.400024,52,254.3089284,365.0170146
39,2.2,18.9,27.8,70.5,206.2357167,101.3107155,138.3500028,142.7821448,158.6142883,120.0389064,23.66428559,163.1770897,45.88928577,567.6551121,476.9333496,43,129.6303569,400.0191323
40,2.2,18.3,26.4,67.5,202.8214308,99.96071516,136.3464317,145.0142871,169.3035742,99.90480423,60.67142854,140.425918,101.9142854,1180.903255,1492.400024,52,243.457143,345.0268108
41,2.2,17.8,26.3,67.4,201.9642912,100.0642875,142.9000032,170.1428604,171.2500044,127.714698,66.58214324,135.4553255,121.5321429,1297.286207,1847.533325,54,262.898213,378.0401709
42,2.2,17.8,26.7,26.7,200.0500031,100.1892875,136.6000034,145.3214329,169.0857173,108.0030534,63.78928525,138.8618736,110.7321437,1271.696995,1644.533325,52,253.8660709,358.0274985
43,2.2,18.5,27.8,67,195.7428627,99.99643026,143.5678602,144.7571466,167.9285736,107.998885,63.71071393,138.5331535,110.4714285,1273.309204,1644.533325,52,253.866072,358.0724062
44,2.17,17.4,26,66.5,196.7642893,99.92500142,137.7535749,143.7678593,169.4678601,106.0186174,63.58571407,138.3910245,110.2321431,1270.648503,1644.533325,52,253.0714291,358.0082528
45,2.14,17.7,26.4,67,201.2571471,99.99285861,142.7714321,184.1071467,172.2107184,124.128679,66.81071363,136.9436335,122.6214286,1299.199506,1847.533325,58,263.9946431,380.0642068
46,2.2,18.6,27,66.5,203.4500013,99.85000093,137.671432,191.8785744,172.767861,123.9667824,67.02857154,138.6515051,123.1857144,1305.818154,1847.533325,58,265.0321415,379.9904327
47,2.2,18.5,26,66,202.6785742,99.89643015,142.7178612,223.0964306,171.9464335,153.89174,75.43571418,135.8348094,138.8892844,1312.406176,2101.399902,70,294.0321448,379.9423174
48,2.2,19.1,30,71,198.2428578,99.89642988,140.8642878,222.1785747,172.2357183,153.9125846,75.9285717,136.4973003,139.3857149,1319.885101,2101.399902,70,295.9732154,380.0257154
49,2.1,16.9,24.1,67.2,222.3500039,150.5857168,227.353575,247.0642891,278.9321507,0.056976096,0,0,0,6.09E-38,0,65,0,0
50,2.2,18,29,73.5,199.8714305,95.08214378,94.97142873,140.3000014,170.0571453,106.9809578,64.38214302,139.6481345,111.2607141,1301.518581,1644.533325,50,255.7214301,354.9481321
51,2.2,19.3,29,70,200.0500041,94.95000131,95.09642955,185.7535744,169.4107176,117.176205,66.43928637,138.7289734,117.3071428,1311.438167,1746.266724,55,262.5714286,365.0041842
52,2.2,18,27,66.5,195.978575,95.05000169,95.02500044,224.7178601,169.9500029,130.2077495,70.85714313,140.0324767,125.903571,1295.779912,1847.533325,55,278.5035695,366.0306451
53,2.2,17.9,28.7,71,187.6000056,94.94285801,94.95714378,228.146431,168.6500004,131.9601124,74.217856,139.2172677,128.1428577,1311.401358,1898.400024,66,289.3374993,357.0587921
54,2.23,18.6,28.6,71,187.6000056,94.94285801,94.95714378,228.146431,168.6500004,131.9601124,74.217856,139.2172677,128.1428577,1311.401358,1898.400024,66,289.3374993,357.0587921
55,2.23,18.4,28.1,70.9,191.1500026,95.03571538,95.05000169,229.2678604,168.6964324,132.0059695,73.37499973,137.6257842,126.6642862,1311.078866,1898.400024,66,286.7821426,356.8823689
56,2.2,18.2,26.4,68,191.9571468,95.03928675,95.03928702,235.1428593,167.7678604,111.0616967,70.85714313,140.8266918,115.6857134,1258.475791,1695.400024,62,277.7142879,337.1327253
57,2.2,18,27,69,188.7000051,94.99642999,94.97857257,219.1571454,163.8678605,109.8540821,72.52499989,137.9949788,107.0321418,1312.279432,1594.133301,55,283.6392866,305.0239367
58,2.2,18,27,69,187.7714331,95.32500049,95.05714335,222.3642889,165.4107176,110.0896296,73.52857154,140.5389203,109.0464284,1313.577519,1594.133301,55,287.8428563,304.9629909
59,2.2,18.5,28.5,73.5,189.5357127,94.93928691,94.9214295,207.3535756,164.3178618,109.0202849,76.28214237,137.6418457,106.5285713,1370.15509,1594.133301,50,296.6892853,289.1042589
60,2.2,17,27.5,68,193.578573,95.01428659,96.22857339,203.7964314,168.1142883,138.1177003,81.47499929,135.8517701,125.5857146,1406.404519,1898.400024,56,315.3214286,318.034244
61,2.2,17.8,26.5,67,193.0071455,94.96071489,95.36785889,200.1500037,169.1178589,146.9726176,83.68571445,134.5950574,130.9821434,1430.043318,2000.133301,55.82142857,323.3428552,323.9748611
62,2.24,18,28,59.6,183.2000029,89.7035735,74.10357366,212.86429,167.7571466,134.9819303,75.98928561,136.3353495,119.5714283,1373.410466,1797.133301,64,295.7660708,324.9981003
63,2.23,19,25,62,188.507146,95.01428686,95.04285785,211.4285742,163.7571471,135.1514669,75.87500027,135.5072436,119.0821435,1374.326848,1797.133301,60,295.414287,325.1296158
64,2.2,18,29.5,66,201.300002,150.1821463,239.1392904,275.8642905,299.7678637,0.045858808,0,0,0,6.73E-38,0,65,0,0
65,2.2,18.5,28.5,65.5,212.978575,148.9642884,227.0928601,249.9428602,275.0071487,125.1445204,56.61785725,132.9874551,104.485714,1038.04044,1594.133301,65,229.842859,380.0674144
66,2.2,19,31.5,69.5,218.4071465,151.0678602,224.2035746,251.0607174,274.8250046,132.1643927,56.70714269,134.358775,108.0964285,1054.204995,1637.533325,66,229.6535715,395.0825261
67,2.3,19,26,62,218.7785754,149.4750028,224.1964318,249.9607184,275.0607213,140.9915188,57.84642873,133.981381,111.7535714,1102.200073,1695.400024,68,233.7928554,400.0929097
68,2.25,20.1,32,74,212.0571442,150.4428602,224.2500022,247.7071468,274.9678628,144.9367638,63.33928531,133.7923715,124.1071431,1206.714617,1898.400024,68,252.2714277,404.9685691
69,,2.1,18,27,222.5857217,125.885716,140.1250027,149.2321456,143.4107176,0.046553639,0,0,0,6.28E-38,0,100,0,0
70,2.2,18.1,28.1,69.6,194.5571447,100.0107168,190.2464322,240.1035745,250.2500016,199.9402384,68.85357148,134.4136026,112.742857,1380.797699,1644.533325,100,272.5250015,337.0749871
71,2.2,18.2,28.7,68,193.935718,99.9607157,190.3321468,239.8821466,250.0285732,200.9199469,69.23928561,135.2074421,113.2928573,1394.988408,1644.533325,100,271.0696444,338.8712801
72,2.23,17.7,26.2,70.9,199.5071444,151.132146,223.7035746,250.4178598,274.975005,125.9102244,55.8785711,134.4467637,102.2107146,1138.074563,1543.266724,62,226.7928576,377.055409
73,2.23,18.1,28.2,71.4,198.6142872,100.1535732,100.4464308,163.4535746,180.8071453,0.049332961,0,0,0,6.95E-38,0,45,0,0
74,2.2,18.6,28,66.2,201.1214333,100.0714299,100.0642877,169.8678611,180.0535747,121.1297899,64.67499978,135.7715612,118.9785715,1257.064322,1807.850006,60.07142857,256.6446446,382.986399
75,2.2,18.4,27.5,66,200.9785756,99.89642988,100.1107156,225.3035747,179.9857183,155.1222839,73.38571467,137.6331111,140.7785715,1261.073691,2101.399902,69,286.0071444,397.9854682
76,2.56,18.5,26.5,66,198.1785725,99.92500196,100.0500014,235.5107182,180.0607169,156.8676981,73.2464289,136.2251674,139.4642846,1271.275657,2101.399902,67,286.4428569,393.080937
77,2.48,18.4,27,66,182.2571455,101.7107152,100.7250026,157.3071453,175.7678599,0.038910504,0,0,0,6.03E-38,0,20,0,0
78,2.19,18,26.3,67.4,198.4642852,99.94643048,105.0000016,235.5642885,180.0142904,120.5919909,69.52142906,138.7598926,114.5535714,1201.683018,1695.400024,58,273.5303563,340.0613327
79,2.2,1.83,26.5,66,199.9714306,99.84642955,105.003573,225.0000027,179.8428612,133.802803,73.2642855,136.7453477,123.0607142,1237.15016,1847.533325,60,286.4482149,347.9778649
80,2.2,18.3,26.5,66.5,197.9285752,99.71071543,105.0928585,225.6928602,179.5821462,134.1057478,72.25000027,134.6350735,115.0571431,1193.783399,1746.266724,53,282.5196424,330.0149013
81,2.2,18.2,26.1,66.8,197.9285752,99.71071543,105.0928585,225.6928602,179.5821462,134.1057478,72.25000027,134.6350735,115.0571431,1193.783399,1746.266724,53,282.5196424,330.0149013
82,2.2,18.5,26.5,65,201.8000047,110.4285728,117.5535722,222.4785739,180.1785752,114.8596398,70.03214237,137.5934835,110.1571424,1142.491015,1644.533325,58,275.421427,325.0141438
83,2.18,18,26.5,67.2,201.8000047,110.4285728,117.5535722,222.4785739,180.1785752,114.8596398,70.03214237,137.5934835,110.1571424,1142.491015,1644.533325,58,275.421427,325.0141438
84,2.2,18.6,28.7,66.3,194.0571458,104.6285738,112.6964286,221.8785749,180.146431,114.9666435,70.8892855,137.7601782,110.2892851,1151.087415,1644.533325,58,278.0553556,322.0213863
85,2.2,18.6,29.1,68.2,193.4000032,100.2821459,108.8035722,215.1678592,179.1071456,128.0690613,73.55000005,135.7354328,115.6285708,1229.464233,1746.266724,60,287.4303567,323.8593837
86,2.25,19,28,70.1,191.1714314,99.45357214,105.2857159,211.5107188,180.3071469,128.8959094,76.78214346,134.3663951,117.5678575,1263.875266,1797.133301,60,298.4767859,315.9813363
87,2.19,16.9,27.4,66.8,188.8428634,100.510716,105.1000023,225.4821467,180.1464326,143.9945755,76.57857186,136.7003207,132.9428558,1246.029271,2000.133301,64,298.0410712,357.9825919
88,2.2,18,26.7,67.1,193.9785739,99.96785872,105.5750013,230.6785736,180.2107184,147.9377365,74.01785742,136.9035328,133.389286,1234.253693,2000.133301,59,288.3892822,369.9568296
89,2.22,18,28,69,203.3857166,153.3142896,146.24286,250.9500024,274.8178624,155.0458538,67.07500035,136.4641822,130.2999987,1327.195526,1949.266724,66,264.3232128,403.0439671
90,2.1,17.8,27.8,68.3,224.3000031,143.2714304,170.2714331,169.3500028,194.3071463,9.045997439,0.753571408,18982.08551,0.874999983,2.33E-20,0,36.07142857,10.78750011,35.86818586
91,2.2,18.6,26.8,68.1,179.3428595,101.8642878,105.0285732,210.414287,179.8071463,110.8865997,74.32142884,138.5007995,110.632143,1327.671352,1644.533325,56,291.0214255,306.0567987
92,2.2,18.4,273,69.2,182.8785766,100.5428587,104.9178592,213.3928604,180.0928617,114.98332,75.68214253,138.7084002,117.3428568,1339.978655,1746.266724,62,295.1785747,320.0005471
93,2.2,18,29.5,71.3,187.5000044,99.81428719,106.9964314,194.9607179,179.9964305,123.0544698,67.10357094,139.6477416,118.6428566,1354.001147,1746.266724,66,264.7928587,364.9496525
94,2.2,18.6,27.4,66,192.9214314,100.0571447,107.1035731,186.3571478,179.9892911,126.90939,64.87857083,139.5637856,118.8250013,1367.005088,1746.266724,66,260.5160697,369.9151317
95,2.25,18.4,27,66,189.1285738,100.2464316,104.7785729,215.4071437,180.1714314,142.0268162,74.94285665,136.3180193,126.2642855,1399.284045,1898.400024,66,292.6285727,347.9939052
96,,2.26,18.5,26.5,189.5642869,99.18571554,104.7857162,178.0785757,179.7642899,120.0326519,63.09285695,141.0968257,110.082143,1309.239602,1594.133301,66,251.5428587,359.9424787
97,2.2,19,27,66,186.0357186,100.342859,105.0714302,218.8714311,180.3464312,116.9753993,71.1857139,140.0235999,109.0535712,1353.353973,1594.133301,61,280.1767862,314.9773363
98,,2.18,18.2,26,187.2357167,101.3178588,105.0000008,206.7535755,200.0142904,116.9712298,74.4142862,137.0179405,106.714286,1367.887063,1594.133301,61,289.664287,297.0849402
99,2.2,18.5,29.2,69.3,195.7785759,99.77857372,105.0607158,205.6250033,199.9285763,114.9187001,75.76785687,139.2675274,108.3392854,1401.60444,1594.133301,60,294.1017881,297.027201
100,2.18,18.2,28.1,70.3,196.1714314,99.99643026,105.0464306,202.7178606,200.0464336,115.1931588,74.71428653,138.2512207,107.5500001,1407.43049,1594.133301,60,292.364284,296.0905675
101,2.18,17.9,17.9,27.7,190.8714311,100.4142867,104.9107159,198.8035747,200.0000044,115.077122,73.98571341,137.3120624,100.5892857,1415.75286,1492.400024,58,289.4375,280.0361633
102,2.2,18.4,27.6,69.4,190.8714311,100.4142867,104.9107159,198.8035747,200.0000044,115.077122,73.98571341,137.3120624,100.5892857,1415.75286,1492.400024,58,289.4375,280.0361633
103,2.2,18.3,27.5,69,190.8714311,100.4142867,104.9107159,198.8035747,200.0000044,115.077122,73.98571341,137.3120624,100.5892857,1415.75286,1492.400024,58,289.4375,280.0361633
104,2.2,18,27.5,69,331.4500068,244.6714314,290.8035758,309.5285797,314.0750057,0.058365757,0.042857144,0,0,6.19E-38,0,58,13.67678588,0.275859782
105,2.2,18.3,26.8,69.3,189.8500017,104.8678586,152.7428594,238.5178604,170.0000027,125.9942978,70.25714248,139.8300863,115.8178569,1327.73012,1695.400024,55,276.210713,340.0388794
106,2.24,18,27.2,66,182.778577,103.0750008,117.6142881,141.4107148,165.2071479,104.9270396,65.63571385,139.779765,108.1035715,1245.910819,1594.133301,45,261.8517881,335.150383
107,2.25,17.6,27,66,180.800002,102.5500009,123.3607159,143.107145,166.3857177,104.9624751,66.00714302,139.8129545,108.1285714,1249.825553,1594.133301,45,262.6535732,335.083022
108,2.2,17.4,24.5,68.5,180.800002,102.5500009,123.3607159,143.107145,166.3857177,104.9624751,66.00714302,139.8129545,108.1285714,1249.825553,1594.133301,45,262.6535732,335.083022
109,2.2,18.1,28.3,70.5,176.4571462,94.23571587,89.36071587,230.1892885,167.9714312,119.9909635,71.86428533,140.9798688,122.7821429,1203.866163,1797.133301,51,282.1000017,352.0034975
110,2.2,17.8,27.8,68.2,176.4571462,94.23571587,89.36071587,230.1892885,167.9714312,119.9909635,71.86428533,140.9798688,122.7821429,1203.866163,1797.133301,51,282.1000017,352.0034975
111,2.2,17.7,26.7,68.2,193.4928583,99.97500174,99.89285905,230.3607167,167.5785751,122.0761498,71.43928582,139.2898767,121.4357142,1202.74125,1797.133301,53,280.0196435,351.9136854
112,2.2,17.9,26.7,68.5,193.5142877,100.0535731,100.0428587,187.0750024,167.1035739,108.3664494,67.21428544,141.1367847,110.7285709,1197.676758,1615.733311,52.39285714,266.307142,337.078198
113,2.2,18.3,27.9,70.1,194.1142883,99.93571581,99.31071554,151.3607172,165.6964329,99.99304853,63.60714299,140.2031849,101.7535708,1210.645211,1492.400024,46,252.9035699,330.9483446
114,2.23,18,27.2,66,192.1785736,100.0357156,101.2964306,149.5642885,166.8107174,98.16286469,63.98928561,140.3476612,101.7321426,1227.898682,1492.400024,41,253.8821438,330.034147
115,2.19,17.8,27.7,67.5,193.1714298,100.2142876,99.8321446,179.5678607,167.7571444,112.127567,67.84999984,139.0632232,114.3000011,1274.132717,1695.400024,53,268.573216,346.0243912
116,2.2,17.8,28,67.5,191.6785758,99.84643064,99.70000185,149.6892891,165.7178617,99.91105734,62.32499995,140.1702112,101.7285709,1235.742467,1492.400024,47,249.8678573,334.2907246
117,2.24,18.4,27,66,197.24286,99.63928631,99.98571559,150.0357186,168.3464312,111.0623918,59.3499997,139.9475692,108.6142859,1164.171775,1594.133301,53,239.4767854,375.9070674
118,2.16,18.2,26,67.3,174.8285757,93.60714449,194.3571461,326.878576,311.0750062,203.5047182,63.9035714,133.5381391,108.6964291,1231.332428,1585.79997,100,254.6482135,350.0853075
119,2.2,17.2,27,66,174.8285757,93.60714449,194.3571461,326.878576,311.0750062,203.5047182,63.9035714,133.5381391,108.6964291,1231.332428,1585.79997,100,254.6482135,350.0853075
120,2.1,18.5,26.5,67,185.1285738,99.9821434,187.5642885,246.271431,251.9678612,202.0490483,67.4607138,136.3353342,114.5321432,1311.988822,1644.533325,100,266.6714292,350.0917239
121,2.19,17.6,26,66.5,185.6000023,100.0000014,188.4928611,246.3678583,252.4678601,202.0608597,67.38214275,135.74837,114.035714,1319.709878,1644.533325,100,265.6624963,350.0468183
122,2.16,18.2,26,67.3,182.3071469,98.92500087,191.9464324,244.6928602,247.7071457,0.042384657,0,0,0,6.12E-38,0,100,0,0
123,2.1,18.5,26.5,67,189.5857168,101.282144,121.0428589,140.9464318,139.8607161,0.0479433,0,0,0,6.12E-38,0,100,0,0
124,2.2,18.4,29.3,67.5,186.4357196,90.05714389,89.97857176,221.2357161,180.0535752,112.0928252,71.87142835,141.7174606,110.053572,1351.199018,1594.133301,57,281.7999987,315.9364297
125,2,17.9,25.6,70,186.4357196,90.05714389,89.97857176,221.2357161,180.0535752,112.0928252,71.87142835,141.7174606,110.053572,1351.199018,1594.133301,57,281.7999987,315.9364297
126,2.2,18.4,27,66,188.8142896,89.91428648,89.97500202,222.3464323,180.0571474,112.0421031,71.2107138,141.8009169,110.1178567,1355.702746,1594.133301,55,279.051784,319.9652634
127,2.2,18,28,67,188.8142896,89.91428648,89.97500202,222.3464323,180.0571474,112.0421031,71.2107138,141.8009169,110.1178567,1355.702746,1594.133301,55,279.051784,319.9652634
128,2.21,18.4,27,66.2,185.8785771,90.0357151,89.99285807,222.1571459,179.9357185,111.9886009,70.48214313,141.0480968,109.5321432,1350.914764,1594.133301,55,277.8482132,319.9556427
129,2.2,17.5,26.4,67.3,185.8785771,90.0357151,89.99285807,222.1571459,179.9357185,111.9886009,70.48214313,141.0480968,109.5321432,1350.914764,1594.133301,55,277.8482132,319.9556427
130,2.23,18,26,70,187.1928613,89.98571559,89.9428591,215.675002,179.8535767,103.0662828,71.82857159,145.0045902,105.4392853,1388.399619,1492.400024,59,281.9303578,302.0536248
131,2.2,17.5,28.1,7.5,186.9857189,89.97142928,90.00714438,209.6642887,166.0107177,103.0266781,74.79285758,144.3989645,104.9964281,1447.800145,1492.400024,54,291.9374967,290.0056087
132,2.2,18.3,27.2,68.4,186.9857189,89.97142928,90.00714438,209.6642887,166.0107177,103.0266781,74.79285758,144.3989645,104.9964281,1447.800145,1492.400024,54,291.9374967,290.0056087
133,2.5,18.2,26,66,187.671433,100.0678594,189.964289,233.6678603,239.5571458,197.6479901,67.34999997,144.3832648,123.8892852,1385.457306,1688.249978,100,265.6428571,381.0329219
134,2.2,18.5,26,66.5,183.850005,100.0857162,189.9857161,235.0000022,239.9178625,200.9595539,67.32499995,139.8175436,114.2214285,1419.914982,1594.133301,100,266.4249998,350.0211552
135,2.18,18.3,26.3,67.5,183.8000041,99.96428735,189.7464311,235.0750029,239.9821456,201.1332615,67.48928588,140.3507478,114.6571429,1436.253841,1594.133301,100,266.5750013,349.9666258
136,2.2,18,27.3,68.7,182.5357186,99.93571608,190.5964328,235.1000012,240.2571482,205.1069963,68.01071412,140.6794521,115.160714,1528.386658,1594.133301,100,268.0374996,350.0211541
137,2.2,18,27.3,69.7,182.5357186,99.93571608,190.5964328,235.1000012,240.2571482,205.1069963,68.01071412,140.6794521,115.160714,1528.386658,1594.133301,100,268.0374996,350.0211541
138,2.1,18,26,68.5,167.0071444,83.2142849,87.32857432,91.92500114,92.82143021,0.043774317,0,0,0,6.98E-38,0,100,0,0
139,2.2,19,28,66.4,168.8500045,75.0214307,89.92857279,216.0571453,180.0964306,143.0773986,78.52500016,137.199652,133.3678573,1435.932452,2000.133301,66,305.5339301,349.9698312
140,2.2,18.2,27,66,161.5500041,72.6678584,75.15357317,94.15000125,120.6142878,130.1431306,1.321428571,11.64116513,1.517857119,6.69E-38,0,64,38.08750016,98.22212001
141,2.2,18.2,28.1,67.8,169.1071467,75.01785905,84.82500185,191.6750025,179.0821457,130.2285938,80.34285763,139.261,116.4892859,1476.285993,1709.93335,54.21428571,310.2410725,299.2629536
142,2.2,18.2,27,67,169.1071467,75.01785905,84.82500185,191.6750025,179.0821457,130.2285938,80.34285763,139.261,116.4892859,1476.285993,1709.93335,54.21428571,310.2410725,299.2629536
143,2.2,18.1,27.9,68.1,170.5785751,75.03571592,89.76071603,221.11786,180.0285764,121.1735641,71.3821422,140.9811423,109.9857145,1416.28169,1594.133301,54,279.3571429,319.9203546
144,2.2,18.4,27.2,67.8,168.7428627,74.97857257,89.89643015,218.7464316,180.128576,119.9061936,71.82857132,141.4122647,110.3285713,1439.020355,1594.133301,54,281.971429,316.9789276
145,2.22,17.9,27.4,67.3,168.7428627,74.97857257,89.89643015,218.7464316,180.128576,119.9061936,71.82857132,141.4122647,110.3285713,1439.020355,1594.133301,54,281.971429,316.9789276
146,2.19,17.8,27.2,69,166.8928588,74.99643026,90.14642961,214.7071473,169.9607173,122.0824026,72.69642939,142.3036265,111.1499996,1460.207262,1594.133301,53,284.1232136,315.9460536
147,,,,,163.2999992,74.98571587,89.85714286,214.9392902,170.0357165,113.9785957,70.88214248,143.2805268,104.8964291,1451.762617,1492.400024,52,278.4499991,305.0078997
148,2.18,18.9,26.5,66,162.4285731,74.96785872,90.07500049,215.8464323,169.9678579,114.0640591,71.44285692,144.1522369,105.5357148,1455.710571,1492.400024,52,280.3982141,305.0335606
149,2.22,18,27.2,66,162.4285731,74.96785872,90.07500049,215.8464323,169.9678579,114.0640591,71.44285692,144.1522369,105.5357148,1455.710571,1492.400024,52,280.3982141,305.0335606
